procedure,from_step,to_step
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AB
Made affirmative,SLSC AB,No comment by the Secondary Legislation Scrutiny Committee (SLSC)
Draft affirmative,SLSC AB,No comment by the Secondary Legislation Scrutiny Committee (SLSC)
Made negative,SLSC AB,No comment by the Secondary Legislation Scrutiny Committee (SLSC)
Draft negative,SLSC AB,No comment by the Secondary Legislation Scrutiny Committee (SLSC)
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AB,No comment by the Secondary Legislation Scrutiny Committee (SLSC)
Made affirmative,SLSC AB,SLSC AA
Draft affirmative,SLSC AB,SLSC AA
Made negative,SLSC AB,SLSC AA
Draft negative,SLSC AB,SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AB,SLSC AA
Made affirmative,SLSC AA,SLSC AA
Draft affirmative,SLSC AA,SLSC AA
Made negative,SLSC AA,SLSC AA
Draft negative,SLSC AA,SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AA
Made affirmative,SLSC AA,SLSC AC
Draft affirmative,SLSC AA,SLSC AC
Made negative,SLSC AA,SLSC AC
Draft negative,SLSC AA,SLSC AC
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AC
Made affirmative,SLSC AC,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC)
Draft affirmative,SLSC AC,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC)
Made negative,SLSC AC,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC)
Draft negative,SLSC AC,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC)
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AC,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC)
Made affirmative,No comment by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Draft affirmative,No comment by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Made negative,No comment by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Draft negative,No comment by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Enhanced affirmative: Investigatory Powers Act 2016,No comment by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Made affirmative,SLSC AA,SLSC AB
Draft affirmative,SLSC AA,SLSC AB
Made negative,SLSC AA,SLSC AB
Draft negative,SLSC AA,SLSC AB
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AB
Made affirmative,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Draft affirmative,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Made negative,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Draft negative,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Enhanced affirmative: Investigatory Powers Act 2016,Information paragraph provided by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Made affirmative,SLSC AB,SLSC AD
Draft affirmative,SLSC AB,SLSC AD
Made negative,SLSC AB,SLSC AD
Draft negative,SLSC AB,SLSC AD
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AB,SLSC AD
Made affirmative,SLSC AD,Further information published by the Secondary Legislation Scrutiny Committee (SLSC)
Draft affirmative,SLSC AD,Further information published by the Secondary Legislation Scrutiny Committee (SLSC)
Made negative,SLSC AD,Further information published by the Secondary Legislation Scrutiny Committee (SLSC)
Draft negative,SLSC AD,Further information published by the Secondary Legislation Scrutiny Committee (SLSC)
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AD,Further information published by the Secondary Legislation Scrutiny Committee (SLSC)
Made affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Draft affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Made negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Draft negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AA
Made affirmative,SLSC AA,SLSC AE
Draft affirmative,SLSC AA,SLSC AE
Made negative,SLSC AA,SLSC AE
Draft negative,SLSC AA,SLSC AE
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AA,SLSC AE
Made affirmative,SLSC AE,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House
Draft affirmative,SLSC AE,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House
Made negative,SLSC AE,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House
Draft negative,SLSC AE,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AE,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House
Made affirmative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House,SLSC AB
Draft affirmative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House,SLSC AB
Made negative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House,SLSC AB
Draft negative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House,SLSC AB
Enhanced affirmative: Investigatory Powers Act 2016,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it is politically or legally important or gives rise to issues of public policy likely to be of interest to the House,SLSC AB
Made affirmative,SLSC AB,SLSC AA
Draft affirmative,SLSC AB,SLSC AA
Made negative,SLSC AB,SLSC AA
Draft negative,SLSC AB,SLSC AA
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AB,SLSC AA
Made affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Draft affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Made negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Draft negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Enhanced affirmative: Investigatory Powers Act 2016,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AB
Made affirmative,SLSC AB,SLSC AF
Draft affirmative,SLSC AB,SLSC AF
Made negative,SLSC AB,SLSC AF
Draft negative,SLSC AB,SLSC AF
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AB,SLSC AF
Made affirmative,SLSC AF,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act
Draft affirmative,SLSC AF,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act
Made negative,SLSC AF,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act
Draft negative,SLSC AF,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AF,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act
Made affirmative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act,SLSC AC
Draft affirmative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act,SLSC AC
Made negative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act,SLSC AC
Draft negative,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act,SLSC AC
Enhanced affirmative: Investigatory Powers Act 2016,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may be inappropriate in view of changed circumstances since the enactment of the parent Act,SLSC AC
Made affirmative,SLSC AC,SLSC AB
Draft affirmative,SLSC AC,SLSC AB
Made negative,SLSC AC,SLSC AB
Draft negative,SLSC AC,SLSC AB
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AC,SLSC AB
Made affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AC
Draft affirmative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AC
Made negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AC
Draft negative,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AC
Enhanced affirmative: Investigatory Powers Act 2016,Drawn to the special attention of the House by the Secondary Legislation Scrutiny Committee (SLSC),SLSC AC
Made affirmative,SLSC AC,SLSC AG
Draft affirmative,SLSC AC,SLSC AG
Made negative,SLSC AC,SLSC AG
Draft negative,SLSC AC,SLSC AG
Enhanced affirmative: Investigatory Powers Act 2016,SLSC AC,SLSC AG
Made affirmative,SLSC AG,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may imperfectly achieve its policy objectives
Draft affirmative,SLSC AG,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may imperfectly achieve its policy objectives
Made negative,SLSC AG,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may imperfectly achieve its policy objectives
Draft negative,SLSC AG,Secondary Legislation Scrutiny Committee (SLSC) draws the special attention of the House to this instrument on the grounds that it may imperfectly achieve its policy objectives
